P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
alba	davidiana	deltoides	0.00914218	0.711714	0.476642	0.0139263	17176.1	10624.4	10431.9
alba	davidiana	euphratica	0.0214338	1.95437	0.0506577	0.0284269	17593.9	12283.1	11767.6
alba	davidiana	ilicifolia	0.0198753	1.01405	0.31056	0.025764	18803.8	13437.8	12914
alba	davidiana	simonii	0.0190116	1.69795	0.0895179	0.0300244	16378.6	10150.4	9771.62
alba	davidiana	tomentosa	0.0164616	1.42762	0.1534	0.029636	15024.6	10172.9	9843.38
alba	davidiana	trichocarpa	0.0253672	1.35077	0.17677	0.030291	19811.2	13920	13231.2
deltoides	alba	euphratica	0.00649257	0.420974	0.673774	0.00981164	13092.1	14010.1	13829.4
alba	ilicifolia	deltoides	0.00436488	0.21565	0.82926	0.00901723	15224.9	14496.4	14370.4
deltoides	simonii	alba	0.0062288	0.475013	0.634778	0.00838731	12915.2	11086	10948.8
tomentosa	alba	deltoides	0.00925103	0.387314	0.698523	0.014584	12772.6	11209.6	11004.1
deltoides	trichocarpa	alba	0.00536007	0.290421	0.771494	0.0101712	15638.2	15403.8	15239.5
ilicifolia	euphratica	alba	0.00231642	0.126406	0.899411	0.00412331	19921.5	13738.2	13674.8
euphratica	alba	simonii	0.000186617	0.0110175	0.991209	0.000372469	13509.8	12729	12724.2
euphratica	tomentosa	alba	0.0242088	1.06135	0.28853	0.0419915	11665.1	13644.1	12999.1
trichocarpa	euphratica	alba	0.0236287	1.3991	0.161784	0.0469633	18366.8	16326.8	15573
simonii	ilicifolia	alba	0.0247385	1.04913	0.294119	0.0446072	13194.8	14855.2	14138
ilicifolia	tomentosa	alba	0.0246422	0.870444	0.384058	0.0456913	12672.8	14730	14021.5
trichocarpa	ilicifolia	alba	0.0214262	2.22647	0.0259827	0.0429	21392.2	16452.8	15762.5
alba	tomentosa	simonii	0.000935576	0.0284841	0.977276	0.00157073	11970.9	10564.9	10545.1
simonii	trichocarpa	alba	0.000880339	0.040662	0.967565	0.00164777	13815	15348.5	15321.5
trichocarpa	tomentosa	alba	0.0460672	1.75262	0.0796675	0.0873277	13078.5	15881	14482.2
davidiana	euphratica	deltoides	0.0201588	1.14218	0.253379	0.03966	14480.1	13783.9	13239.1
ilicifolia	davidiana	deltoides	0.00228031	0.110699	0.911855	0.00486867	15800.4	14614.6	14548.1
deltoides	simonii	davidiana	0.01434	0.698729	0.484721	0.0188437	12891.9	11441.4	11117.9
tomentosa	davidiana	deltoides	0.0177344	0.812883	0.416285	0.0288025	13120.1	11420.1	11022.1
davidiana	trichocarpa	deltoides	0.00663242	0.327382	0.743379	0.0149543	16106	15651.8	15445.5
ilicifolia	euphratica	davidiana	0.00194748	0.0763667	0.939127	0.0034192	19880.4	14212.6	14157.4
euphratica	davidiana	simonii	0.014951	0.869573	0.384534	0.0307742	13934.5	13017	12633.5
euphratica	tomentosa	davidiana	0.0167642	0.725294	0.468272	0.0287499	11610.9	13919.4	13460.4
trichocarpa	euphratica	davidiana	0.0176728	0.849299	0.395715	0.034761	18238.2	16713.8	16133.2
simonii	ilicifolia	davidiana	0.0288948	0.92234	0.356351	0.05091	13167.4	15351.6	14489.4
ilicifolia	tomentosa	davidiana	0.0174061	0.502769	0.615127	0.0317306	12642.5	15029.2	14515
trichocarpa	ilicifolia	davidiana	0.0157941	1.27433	0.202545	0.0313755	21306.4	16890.6	16365.4
tomentosa	davidiana	simonii	0.016755	0.522326	0.601443	0.0282083	12269.2	10892.8	10533.8
simonii	trichocarpa	davidiana	0.0106804	0.368526	0.712481	0.0195207	13722.8	15945	15608
trichocarpa	tomentosa	davidiana	0.0332874	1.03564	0.300371	0.0619607	13001.8	16133.8	15094.2
ilicifolia	euphratica	deltoides	0.0236932	1.57703	0.114788	0.0442078	19568.9	13204.9	12593.6
simonii	deltoides	euphratica	0.0255898	1.74892	0.0803049	0.0316528	13347.9	12118.6	11513.9
euphratica	deltoides	tomentosa	0.00869018	0.339567	0.734183	0.0160531	13159.4	12216.6	12006.1
trichocarpa	euphratica	deltoides	0.0110487	0.795563	0.426286	0.0250282	17708.5	15487.8	15149.2
simonii	deltoides	ilicifolia	0.0373353	2.49591	0.0125636	0.0426345	14788	12947.5	12015.5
ilicifolia	deltoides	tomentosa	0.0109824	0.460099	0.645445	0.0218308	13621.9	13290.4	13001.6
ilicifolia	trichocarpa	deltoides	0.00890656	1.02652	0.304645	0.019831	20843.4	15448.1	15175.4
deltoides	simonii	tomentosa	0.0179682	0.950678	0.341768	0.028285	12078	10268.5	9906
trichocarpa	simonii	deltoides	0.0525883	1.99872	0.0456388	0.11596	12354	15689.8	14122
tomentosa	trichocarpa	deltoides	0.0206903	0.941091	0.346658	0.0429147	13266.1	14904.4	14300.1
ilicifolia	euphratica	simonii	0.0388054	2.01208	0.0442114	0.0693272	19530.4	12561.6	11623.1
ilicifolia	euphratica	tomentosa	0.00326842	0.231702	0.81677	0.00596156	19527	12009.8	11931.5
trichocarpa	euphratica	ilicifolia	0.0342887	1.20148	0.229563	0.0868504	15572.8	19716	18408.8
